date,Day,Visitor,League,Home,Time,Stadium,Longitude,Latitude,Elevation
3/28/2012,Wed,SEA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
3/29/2012,Thu,SEA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/4/2012,Wed,SLN,NL,MIA,19:00,Marlins Park,-80.219845,25.778324,2.0
4/5/2012,Thu,WAS,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/5/2012,Thu,MIA,NL,CIN,19:00,Great American Ball Park,-84.507036,39.097474,149.0
4/5/2012,Thu,TOR,AL,CLE,19:00,Progressive Field,-81.685285,41.495545,199.0
4/5/2012,Thu,BOS,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/5/2012,Thu,ATL,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/5/2012,Thu,PHI,NL,PIT,19:00,PNC Park,-80.00618,40.447063,221.0
4/5/2012,Thu,LAN,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/6/2012,Fri,KCA,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/6/2012,Fri,SFN,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/6/2012,Fri,MIN,AL,BAL,19:00,Oriole Park at Camden Yards,-76.621913,39.283514,11.0
4/6/2012,Fri,COL,NL,HOU,19:00,Minute Maid Park,-95.355411,29.757056,6.0
4/6/2012,Fri,SLN,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/6/2012,Fri,SEA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/6/2012,Fri,LAN,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/6/2012,Fri,NYA,AL,TBA,19:00,Tropicana Field,-82.653453,27.76811,14.0
4/6/2012,Fri,CHA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
4/7/2012,Sat,KCA,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/7/2012,Sat,SFN,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/7/2012,Sat,MIN,AL,BAL,19:00,Oriole Park at Camden Yards,-76.621913,39.283514,11.0
4/7/2012,Sat,WAS,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/7/2012,Sat,MIA,NL,CIN,19:00,Great American Ball Park,-84.507036,39.097474,149.0
4/7/2012,Sat,TOR,AL,CLE,19:00,Progressive Field,-81.685285,41.495545,199.0
4/7/2012,Sat,BOS,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/7/2012,Sat,COL,NL,HOU,19:00,Minute Maid Park,-95.355411,29.757056,6.0
4/7/2012,Sat,SLN,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/7/2012,Sat,ATL,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/7/2012,Sat,SEA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/7/2012,Sat,PHI,NL,PIT,19:00,PNC Park,-80.00618,40.447063,221.0
4/7/2012,Sat,LAN,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/7/2012,Sat,NYA,AL,TBA,19:00,Tropicana Field,-82.653453,27.76811,14.0
4/7/2012,Sat,CHA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
4/8/2012,Sun,KCA,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/8/2012,Sun,SFN,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/8/2012,Sun,MIN,AL,BAL,19:00,Oriole Park at Camden Yards,-76.621913,39.283514,11.0
4/8/2012,Sun,WAS,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/8/2012,Sun,MIA,NL,CIN,19:00,Great American Ball Park,-84.507036,39.097474,149.0
4/8/2012,Sun,TOR,AL,CLE,19:00,Progressive Field,-81.685285,41.495545,199.0
4/8/2012,Sun,BOS,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/8/2012,Sun,COL,NL,HOU,19:00,Minute Maid Park,-95.355411,29.757056,6.0
4/8/2012,Sun,SLN,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/8/2012,Sun,ATL,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/8/2012,Sun,PHI,NL,PIT,19:00,PNC Park,-80.00618,40.447063,221.0
4/8/2012,Sun,LAN,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/8/2012,Sun,NYA,AL,TBA,19:00,Tropicana Field,-82.653453,27.76811,14.0
4/8/2012,Sun,CHA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
4/9/2012,Mon,NYA,AL,BAL,19:00,Oriole Park at Camden Yards,-76.621913,39.283514,11.0
4/9/2012,Mon,MIL,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/9/2012,Mon,SLN,NL,CIN,19:00,Great American Ball Park,-84.507036,39.097474,149.0
4/9/2012,Mon,CHA,AL,CLE,19:00,Progressive Field,-81.685285,41.495545,199.0
4/9/2012,Mon,SFN,NL,COL,19:00,Coors Field,-104.994199,39.755719,1581.0
4/9/2012,Mon,ATL,NL,HOU,19:00,Minute Maid Park,-95.355411,29.757056,6.0
4/9/2012,Mon,ANA,AL,MIN,19:00,Target Field,-93.278279,44.981717,252.0
4/9/2012,Mon,WAS,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/9/2012,Mon,KCA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/9/2012,Mon,MIA,NL,PHI,19:00,Citizens Bank Park,-75.166592,39.905584,-2.0
4/9/2012,Mon,SEA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
4/9/2012,Mon,BOS,AL,TOR,19:00,Rogers Centre,-79.389181,43.641682,83.0
4/10/2012,Tue,NYA,AL,BAL,19:00,Oriole Park at Camden Yards,-76.621913,39.283514,11.0
4/10/2012,Tue,MIL,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/10/2012,Tue,SLN,NL,CIN,19:00,Great American Ball Park,-84.507036,39.097474,149.0
4/10/2012,Tue,CHA,AL,CLE,19:00,Progressive Field,-81.685285,41.495545,199.0
4/10/2012,Tue,TBA,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/10/2012,Tue,ATL,NL,HOU,19:00,Minute Maid Park,-95.355411,29.757056,6.0
4/10/2012,Tue,PIT,NL,LAN,19:00,Dodger Stadium,-118.240228,34.073421,153.0
4/10/2012,Tue,WAS,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/10/2012,Tue,KCA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/10/2012,Tue,ARI,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/10/2012,Tue,SEA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
4/10/2012,Tue,BOS,AL,TOR,19:00,Rogers Centre,-79.389181,43.641682,83.0
4/11/2012,Wed,NYA,AL,BAL,19:00,Oriole Park at Camden Yards,-76.621913,39.283514,11.0
4/11/2012,Wed,MIL,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/11/2012,Wed,SLN,NL,CIN,19:00,Great American Ball Park,-84.507036,39.097474,149.0
4/11/2012,Wed,CHA,AL,CLE,19:00,Progressive Field,-81.685285,41.495545,199.0
4/11/2012,Wed,SFN,NL,COL,19:00,Coors Field,-104.994199,39.755719,1581.0
4/11/2012,Wed,TBA,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/11/2012,Wed,ATL,NL,HOU,19:00,Minute Maid Park,-95.355411,29.757056,6.0
4/11/2012,Wed,PIT,NL,LAN,19:00,Dodger Stadium,-118.240228,34.073421,153.0
4/11/2012,Wed,ANA,AL,MIN,19:00,Target Field,-93.278279,44.981717,252.0
4/11/2012,Wed,WAS,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/11/2012,Wed,KCA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/11/2012,Wed,MIA,NL,PHI,19:00,Citizens Bank Park,-75.166592,39.905584,-2.0
4/11/2012,Wed,ARI,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/11/2012,Wed,SEA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
4/11/2012,Wed,BOS,AL,TOR,19:00,Rogers Centre,-79.389181,43.641682,83.0
4/12/2012,Thu,MIL,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/12/2012,Thu,SFN,NL,COL,19:00,Coors Field,-104.994199,39.755719,1581.0
4/12/2012,Thu,TBA,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/12/2012,Thu,PIT,NL,LAN,19:00,Dodger Stadium,-118.240228,34.073421,153.0
4/12/2012,Thu,ANA,AL,MIN,19:00,Target Field,-93.278279,44.981717,252.0
4/12/2012,Thu,MIA,NL,PHI,19:00,Citizens Bank Park,-75.166592,39.905584,-2.0
4/12/2012,Thu,ARI,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/12/2012,Thu,SEA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
4/12/2012,Thu,CIN,NL,WAS,19:00,Nationals Park,-77.007716,38.872576,2.0
4/13/2012,Fri,MIL,NL,ATL,19:00,SunTrust Park,-84.467987,33.891127,300.0
4/13/2012,Fri,TBA,AL,BOS,19:00,Fenway Park,-71.097765,42.346247,5.0
4/13/2012,Fri,DET,AL,CHA,19:00,Guaranteed Rate Field,-87.634224,41.830187,181.0
4/13/2012,Fri,ARI,NL,COL,19:00,Coors Field,-104.994199,39.755719,1581.0
4/13/2012,Fri,CLE,AL,KCA,19:00,Kauffman Stadium,-94.480809,39.051246,261.0
4/13/2012,Fri,SDN,NL,LAN,19:00,Dodger Stadium,-118.240228,34.073421,153.0
4/13/2012,Fri,HOU,NL,MIA,19:00,Marlins Park,-80.219845,25.778324,2.0
4/13/2012,Fri,TEX,AL,MIN,19:00,Target Field,-93.278279,44.981717,252.0
4/13/2012,Fri,ANA,AL,NYA,19:00,Citi Field,-73.84603,40.756587,5.0
4/13/2012,Fri,NYN,NL,PHI,19:00,Citizens Bank Park,-75.166592,39.905584,-2.0
4/13/2012,Fri,OAK,AL,SEA,19:00,T-Mobile Park,-122.332907,47.591124,5.0
4/13/2012,Fri,PIT,NL,SFN,19:00,Oracle Park,-122.389911,37.778369,3.0
4/13/2012,Fri,CHN,NL,SLN,19:00,,,,
4/13/2012,Fri,BAL,AL,TOR,19:00,Rogers Centre,-79.389181,43.641682,83.0
4/13/2012,Fri,CIN,NL,WAS,19:00,Nationals Park,-77.007716,38.872576,2.0
4/14/2012,Sat,MIL,NL,ATL,19:00,SunTrust Park,-84.467987,33.891127,300.0
4/14/2012,Sat,TBA,AL,BOS,19:00,Fenway Park,-71.097765,42.346247,5.0
4/14/2012,Sat,DET,AL,CHA,19:00,Guaranteed Rate Field,-87.634224,41.830187,181.0
4/14/2012,Sat,ARI,NL,COL,19:00,Coors Field,-104.994199,39.755719,1581.0
4/14/2012,Sat,CLE,AL,KCA,19:00,Kauffman Stadium,-94.480809,39.051246,261.0
4/14/2012,Sat,SDN,NL,LAN,19:00,Dodger Stadium,-118.240228,34.073421,153.0
4/14/2012,Sat,HOU,NL,MIA,19:00,Marlins Park,-80.219845,25.778324,2.0
4/14/2012,Sat,TEX,AL,MIN,19:00,Target Field,-93.278279,44.981717,252.0
4/14/2012,Sat,ANA,AL,NYA,19:00,Citi Field,-73.84603,40.756587,5.0
4/14/2012,Sat,NYN,NL,PHI,19:00,Citizens Bank Park,-75.166592,39.905584,-2.0
4/14/2012,Sat,OAK,AL,SEA,19:00,T-Mobile Park,-122.332907,47.591124,5.0
4/14/2012,Sat,PIT,NL,SFN,19:00,Oracle Park,-122.389911,37.778369,3.0
4/14/2012,Sat,CHN,NL,SLN,19:00,,,,
4/14/2012,Sat,BAL,AL,TOR,19:00,Rogers Centre,-79.389181,43.641682,83.0
4/14/2012,Sat,CIN,NL,WAS,19:00,Nationals Park,-77.007716,38.872576,2.0
4/15/2012,Sun,MIL,NL,ATL,19:00,SunTrust Park,-84.467987,33.891127,300.0
4/15/2012,Sun,TBA,AL,BOS,19:00,Fenway Park,-71.097765,42.346247,5.0
4/15/2012,Sun,DET,AL,CHA,19:00,Guaranteed Rate Field,-87.634224,41.830187,181.0
4/15/2012,Sun,ARI,NL,COL,19:00,Coors Field,-104.994199,39.755719,1581.0
4/15/2012,Sun,CLE,AL,KCA,19:00,Kauffman Stadium,-94.480809,39.051246,261.0
4/15/2012,Sun,SDN,NL,LAN,19:00,Dodger Stadium,-118.240228,34.073421,153.0
4/15/2012,Sun,HOU,NL,MIA,19:00,Marlins Park,-80.219845,25.778324,2.0
4/15/2012,Sun,TEX,AL,MIN,19:00,Target Field,-93.278279,44.981717,252.0
4/15/2012,Sun,ANA,AL,NYA,19:00,Citi Field,-73.84603,40.756587,5.0
4/15/2012,Sun,NYN,NL,PHI,19:00,Citizens Bank Park,-75.166592,39.905584,-2.0
4/15/2012,Sun,OAK,AL,SEA,19:00,T-Mobile Park,-122.332907,47.591124,5.0
4/15/2012,Sun,PIT,NL,SFN,19:00,Oracle Park,-122.389911,37.778369,3.0
4/15/2012,Sun,CHN,NL,SLN,19:00,,,,
4/15/2012,Sun,BAL,AL,TOR,19:00,Rogers Centre,-79.389181,43.641682,83.0
4/15/2012,Sun,CIN,NL,WAS,19:00,Nationals Park,-77.007716,38.872576,2.0
4/16/2012,Mon,OAK,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/16/2012,Mon,PIT,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/16/2012,Mon,NYN,NL,ATL,19:00,SunTrust Park,-84.467987,33.891127,300.0
4/16/2012,Mon,TBA,AL,BOS,19:00,Fenway Park,-71.097765,42.346247,5.0
4/16/2012,Mon,BAL,AL,CHA,19:00,Guaranteed Rate Field,-87.634224,41.830187,181.0
4/16/2012,Mon,SDN,NL,COL,19:00,Coors Field,-104.994199,39.755719,1581.0
4/16/2012,Mon,DET,AL,KCA,19:00,Kauffman Stadium,-94.480809,39.051246,261.0
4/16/2012,Mon,MIN,AL,NYA,19:00,Citi Field,-73.84603,40.756587,5.0
4/16/2012,Mon,PHI,NL,SFN,19:00,Oracle Park,-122.389911,37.778369,3.0
4/16/2012,Mon,HOU,NL,WAS,19:00,Nationals Park,-77.007716,38.872576,2.0
4/17/2012,Tue,OAK,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/17/2012,Tue,PIT,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/17/2012,Tue,NYN,NL,ATL,19:00,SunTrust Park,-84.467987,33.891127,300.0
4/17/2012,Tue,TEX,AL,BOS,19:00,Fenway Park,-71.097765,42.346247,5.0
4/17/2012,Tue,BAL,AL,CHA,19:00,Guaranteed Rate Field,-87.634224,41.830187,181.0
4/17/2012,Tue,SDN,NL,COL,19:00,Coors Field,-104.994199,39.755719,1581.0
4/17/2012,Tue,DET,AL,KCA,19:00,Kauffman Stadium,-94.480809,39.051246,261.0
4/17/2012,Tue,CHN,NL,MIA,19:00,Marlins Park,-80.219845,25.778324,2.0
4/17/2012,Tue,LAN,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/17/2012,Tue,MIN,AL,NYA,19:00,Citi Field,-73.84603,40.756587,5.0
4/17/2012,Tue,CLE,AL,SEA,19:00,T-Mobile Park,-122.332907,47.591124,5.0
4/17/2012,Tue,PHI,NL,SFN,19:00,Oracle Park,-122.389911,37.778369,3.0
4/17/2012,Tue,CIN,NL,SLN,19:00,,,,
4/17/2012,Tue,TBA,AL,TOR,19:00,Rogers Centre,-79.389181,43.641682,83.0
4/17/2012,Tue,HOU,NL,WAS,19:00,Nationals Park,-77.007716,38.872576,2.0
4/18/2012,Wed,OAK,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/18/2012,Wed,PIT,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/18/2012,Wed,NYN,NL,ATL,19:00,SunTrust Park,-84.467987,33.891127,300.0
4/18/2012,Wed,TEX,AL,BOS,19:00,Fenway Park,-71.097765,42.346247,5.0
4/18/2012,Wed,BAL,AL,CHA,19:00,Guaranteed Rate Field,-87.634224,41.830187,181.0
4/18/2012,Wed,SDN,NL,COL,19:00,Coors Field,-104.994199,39.755719,1581.0
4/18/2012,Wed,DET,AL,KCA,19:00,Kauffman Stadium,-94.480809,39.051246,261.0
4/18/2012,Wed,CHN,NL,MIA,19:00,Marlins Park,-80.219845,25.778324,2.0
4/18/2012,Wed,LAN,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/18/2012,Wed,MIN,AL,NYA,19:00,Citi Field,-73.84603,40.756587,5.0
4/18/2012,Wed,CLE,AL,SEA,19:00,T-Mobile Park,-122.332907,47.591124,5.0
4/18/2012,Wed,PHI,NL,SFN,19:00,Oracle Park,-122.389911,37.778369,3.0
4/18/2012,Wed,CIN,NL,SLN,19:00,,,,
4/18/2012,Wed,TBA,AL,TOR,19:00,Rogers Centre,-79.389181,43.641682,83.0
4/18/2012,Wed,HOU,NL,WAS,19:00,Nationals Park,-77.007716,38.872576,2.0
4/19/2012,Thu,OAK,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/19/2012,Thu,ATL,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/19/2012,Thu,BAL,AL,CHA,19:00,Guaranteed Rate Field,-87.634224,41.830187,181.0
4/19/2012,Thu,TEX,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/19/2012,Thu,CHN,NL,MIA,19:00,Marlins Park,-80.219845,25.778324,2.0
4/19/2012,Thu,LAN,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/19/2012,Thu,MIN,AL,NYA,19:00,Citi Field,-73.84603,40.756587,5.0
4/19/2012,Thu,PHI,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/19/2012,Thu,CLE,AL,SEA,19:00,T-Mobile Park,-122.332907,47.591124,5.0
4/19/2012,Thu,CIN,NL,SLN,19:00,,,,
4/19/2012,Thu,TBA,AL,TOR,19:00,Rogers Centre,-79.389181,43.641682,83.0
4/19/2012,Thu,HOU,NL,WAS,19:00,Nationals Park,-77.007716,38.872576,2.0
4/20/2012,Fri,BAL,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/20/2012,Fri,ATL,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/20/2012,Fri,NYA,AL,BOS,19:00,Fenway Park,-71.097765,42.346247,5.0
4/20/2012,Fri,CIN,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/20/2012,Fri,TEX,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/20/2012,Fri,LAN,NL,HOU,19:00,Minute Maid Park,-95.355411,29.757056,6.0
4/20/2012,Fri,TOR,AL,KCA,19:00,Kauffman Stadium,-94.480809,39.051246,261.0
4/20/2012,Fri,COL,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/20/2012,Fri,SFN,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/20/2012,Fri,CLE,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/20/2012,Fri,SLN,NL,PIT,19:00,PNC Park,-80.00618,40.447063,221.0
4/20/2012,Fri,PHI,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/20/2012,Fri,CHA,AL,SEA,19:00,T-Mobile Park,-122.332907,47.591124,5.0
4/20/2012,Fri,MIN,AL,TBA,19:00,Tropicana Field,-82.653453,27.76811,14.0
4/20/2012,Fri,MIA,NL,WAS,19:00,Nationals Park,-77.007716,38.872576,2.0
4/21/2012,Sat,BAL,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/21/2012,Sat,ATL,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/21/2012,Sat,NYA,AL,BOS,19:00,Fenway Park,-71.097765,42.346247,5.0
4/21/2012,Sat,CIN,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/21/2012,Sat,TEX,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/21/2012,Sat,LAN,NL,HOU,19:00,Minute Maid Park,-95.355411,29.757056,6.0
4/21/2012,Sat,TOR,AL,KCA,19:00,Kauffman Stadium,-94.480809,39.051246,261.0
4/21/2012,Sat,COL,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/21/2012,Sat,SFN,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/21/2012,Sat,CLE,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/21/2012,Sat,SLN,NL,PIT,19:00,PNC Park,-80.00618,40.447063,221.0
4/21/2012,Sat,PHI,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/21/2012,Sat,CHA,AL,SEA,19:00,T-Mobile Park,-122.332907,47.591124,5.0
4/21/2012,Sat,MIN,AL,TBA,19:00,Tropicana Field,-82.653453,27.76811,14.0
4/21/2012,Sat,MIA,NL,WAS,19:00,Nationals Park,-77.007716,38.872576,2.0
4/22/2012,Sun,BAL,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/22/2012,Sun,ATL,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/22/2012,Sun,NYA,AL,BOS,19:00,Fenway Park,-71.097765,42.346247,5.0
4/22/2012,Sun,CIN,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/22/2012,Sun,TEX,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/22/2012,Sun,LAN,NL,HOU,19:00,Minute Maid Park,-95.355411,29.757056,6.0
4/22/2012,Sun,TOR,AL,KCA,19:00,Kauffman Stadium,-94.480809,39.051246,261.0
4/22/2012,Sun,COL,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/22/2012,Sun,SFN,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/22/2012,Sun,CLE,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/22/2012,Sun,SLN,NL,PIT,19:00,PNC Park,-80.00618,40.447063,221.0
4/22/2012,Sun,PHI,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/22/2012,Sun,CHA,AL,SEA,19:00,T-Mobile Park,-122.332907,47.591124,5.0
4/22/2012,Sun,MIN,AL,TBA,19:00,Tropicana Field,-82.653453,27.76811,14.0
4/22/2012,Sun,MIA,NL,WAS,19:00,Nationals Park,-77.007716,38.872576,2.0
4/23/2012,Mon,PHI,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/23/2012,Mon,SLN,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/23/2012,Mon,TOR,AL,KCA,19:00,Kauffman Stadium,-94.480809,39.051246,261.0
4/23/2012,Mon,ATL,NL,LAN,19:00,Dodger Stadium,-118.240228,34.073421,153.0
4/23/2012,Mon,HOU,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/23/2012,Mon,BOS,AL,MIN,19:00,Target Field,-93.278279,44.981717,252.0
4/23/2012,Mon,SFN,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/23/2012,Mon,CHA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/23/2012,Mon,COL,NL,PIT,19:00,PNC Park,-80.00618,40.447063,221.0
4/23/2012,Mon,NYA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
4/24/2012,Tue,PHI,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/24/2012,Tue,TOR,AL,BAL,19:00,Oriole Park at Camden Yards,-76.621913,39.283514,11.0
4/24/2012,Tue,SLN,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/24/2012,Tue,SFN,NL,CIN,19:00,Great American Ball Park,-84.507036,39.097474,149.0
4/24/2012,Tue,KCA,AL,CLE,19:00,Progressive Field,-81.685285,41.495545,199.0
4/24/2012,Tue,SEA,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/24/2012,Tue,ATL,NL,LAN,19:00,Dodger Stadium,-118.240228,34.073421,153.0
4/24/2012,Tue,HOU,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/24/2012,Tue,BOS,AL,MIN,19:00,Target Field,-93.278279,44.981717,252.0
4/24/2012,Tue,MIA,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/24/2012,Tue,CHA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/24/2012,Tue,COL,NL,PIT,19:00,PNC Park,-80.00618,40.447063,221.0
4/24/2012,Tue,WAS,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/24/2012,Tue,ANA,AL,TBA,19:00,Tropicana Field,-82.653453,27.76811,14.0
4/24/2012,Tue,NYA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
4/25/2012,Wed,PHI,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/25/2012,Wed,TOR,AL,BAL,19:00,Oriole Park at Camden Yards,-76.621913,39.283514,11.0
4/25/2012,Wed,SLN,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/25/2012,Wed,SFN,NL,CIN,19:00,Great American Ball Park,-84.507036,39.097474,149.0
4/25/2012,Wed,KCA,AL,CLE,19:00,Progressive Field,-81.685285,41.495545,199.0
4/25/2012,Wed,SEA,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/25/2012,Wed,ATL,NL,LAN,19:00,Dodger Stadium,-118.240228,34.073421,153.0
4/25/2012,Wed,HOU,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/25/2012,Wed,BOS,AL,MIN,19:00,Target Field,-93.278279,44.981717,252.0
4/25/2012,Wed,MIA,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/25/2012,Wed,CHA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/25/2012,Wed,COL,NL,PIT,19:00,PNC Park,-80.00618,40.447063,221.0
4/25/2012,Wed,WAS,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/25/2012,Wed,ANA,AL,TBA,19:00,Tropicana Field,-82.653453,27.76811,14.0
4/25/2012,Wed,NYA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
4/26/2012,Thu,TOR,AL,BAL,19:00,Oriole Park at Camden Yards,-76.621913,39.283514,11.0
4/26/2012,Thu,BOS,AL,CHA,19:00,Guaranteed Rate Field,-87.634224,41.830187,181.0
4/26/2012,Thu,SFN,NL,CIN,19:00,Great American Ball Park,-84.507036,39.097474,149.0
4/26/2012,Thu,KCA,AL,CLE,19:00,Progressive Field,-81.685285,41.495545,199.0
4/26/2012,Thu,SEA,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/26/2012,Thu,MIA,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/26/2012,Thu,WAS,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/26/2012,Thu,ANA,AL,TBA,19:00,Tropicana Field,-82.653453,27.76811,14.0
4/27/2012,Fri,PIT,NL,ATL,19:00,SunTrust Park,-84.467987,33.891127,300.0
